uf50-0622.cnf,T,285
uf50-0602.cnf,T,280
uf50-0685.cnf,T,138
uf50-060.cnf,T,49
uf50-0211.cnf,T,58
uf50-0123.cnf,T,271
uf50-020.cnf,T,87
uf50-0367.cnf,T,114
uf50-0654.cnf,T,104
uf50-0491.cnf,T,80
uf50-0608.cnf,T,70
uf50-0113.cnf,T,103
uf50-0565.cnf,T,144
uf50-078.cnf,T,77
uf50-0507.cnf,T,466
uf50-0458.cnf,T,173
uf50-0975.cnf,T,113
uf50-0355.cnf,T,236
uf50-0993.cnf,T,63
uf50-0138.cnf,T,382
uf50-0663.cnf,T,272
uf50-0241.cnf,T,362
uf50-0322.cnf,T,364
uf50-0925.cnf,T,46
uf50-081.cnf,T,15
uf50-0719.cnf,T,232
uf50-0107.cnf,T,741
uf50-0803.cnf,T,360
uf50-0891.cnf,T,300
uf50-0742.cnf,T,120
uf50-0429.cnf,T,51
uf50-0518.cnf,T,545
uf50-0473.cnf,T,505
uf50-0444.cnf,T,456
uf50-0561.cnf,T,203
uf50-013.cnf,T,174
uf50-0903.cnf,T,98
uf50-0190.cnf,T,162
uf50-0614.cnf,T,41
uf50-0580.cnf,T,495
uf50-0344.cnf,F,372
uf50-0961.cnf,T,653
uf50-050.cnf,T,346
uf50-0607.cnf,T,500
uf50-0213.cnf,T,73
uf50-0349.cnf,T,259
uf50-07.cnf,T,216
uf50-0935.cnf,T,23
uf50-0942.cnf,T,50
uf50-0810.cnf,T,26
uf50-0488.cnf,T,28
uf50-0617.cnf,T,288
uf50-0540.cnf,T,657
uf50-073.cnf,T,362
uf50-0479.cnf,T,14
uf50-052.cnf,T,163
uf50-0651.cnf,T,46
uf50-0230.cnf,T,121
uf50-0257.cnf,T,59
uf50-065.cnf,T,64
uf50-0425.cnf,T,23
uf50-0666.cnf,T,12
uf50-0101.cnf,T,15
uf50-0588.cnf,T,246
uf50-0205.cnf,T,5
uf50-0997.cnf,T,529
uf50-0461.cnf,T,196
uf50-0174.cnf,T,328
uf50-0149.cnf,T,138
uf50-0687.cnf,T,17
uf50-0364.cnf,T,36
uf50-0129.cnf,T,28
uf50-0204.cnf,T,737
uf50-0743.cnf,T,116
uf50-0691.cnf,T,82
uf50-0472.cnf,T,58
uf50-0956.cnf,T,142
uf50-0132.cnf,T,13
uf50-0389.cnf,T,418
uf50-0609.cnf,T,82
uf50-0359.cnf,T,307
uf50-0985.cnf,T,64
uf50-0755.cnf,T,107
uf50-0792.cnf,T,24
uf50-0813.cnf,T,61
uf50-0787.cnf,T,29
uf50-0148.cnf,T,64
uf50-0600.cnf,T,20
uf50-0867.cnf,T,79
uf50-0366.cnf,T,327
uf50-0499.cnf,T,156
uf50-0798.cnf,T,56
uf50-0977.cnf,T,23
